,book_id,RGB1,HSV1,RGB2,HSV2,RGB3,HSV3
0,10365,"(22, 14, 9)","(12, 151, 22)","(97, 82, 94)","(156, 39, 97)","(201, 184, 148)","(20, 67, 201)"
1,10959,"(184, 64, 45)","(4, 193, 184)","(98, 63, 53)","(7, 117, 98)","(195, 161, 128)","(15, 88, 195)"
2,5,"(104, 112, 124)","(108, 41, 124)","(188, 134, 114)","(8, 100, 188)","(198, 178, 159)","(15, 50, 198)"
3,11387515,"(83, 198, 229)","(96, 163, 229)","(34, 36, 39)","(108, 33, 39)","(249, 250, 250)","(90, 1, 250)"
4,438492,"(96, 98, 101)","(108, 13, 101)","(241, 207, 154)","(18, 92, 241)","(151, 157, 157)","(90, 10, 157)"
5,78418,"(222, 192, 144)","(18, 90, 222)","(94, 80, 83)","(174, 38, 94)","(158, 148, 125)","(21, 53, 158)"
6,78411,"(214, 184, 141)","(18, 87, 214)","(87, 85, 90)","(132, 14, 90)","(150, 139, 115)","(21, 59, 150)"
7,9673436,"(137, 58, 30)","(8, 199, 137)","(201, 152, 113)","(13, 112, 201)","(22, 125, 186)","(101, 225, 186)"
8,233093,"(10, 128, 151)","(95, 238, 151)","(217, 233, 235)","(93, 20, 235)","(113, 74, 71)","(2, 95, 113)"
9,23772,"(246, 69, 26)","(6, 228, 246)","(178, 103, 81)","(7, 139, 178)","(239, 219, 208)","(11, 33, 239)"
10,157993,"(7, 79, 144)","(104, 243, 144)","(218, 208, 206)","(5, 14, 218)","(182, 166, 95)","(24, 122, 182)"
11,3636,"(45, 30, 27)","(5, 102, 45)","(145, 124, 92)","(18, 93, 145)","(220, 209, 188)","(20, 37, 220)"
12,352262,"(133, 73, 52)","(8, 155, 133)","(171, 136, 74)","(19, 145, 171)","(184, 184, 144)","(30, 55, 184)"
13,10508431,"(202, 181, 94)","(24, 136, 202)","(141, 132, 85)","(25, 101, 141)","(92, 70, 37)","(18, 152, 92)"
14,27064348,"(213, 84, 46)","(7, 200, 213)","(146, 151, 138)","(42, 22, 151)","(57, 46, 34)","(16, 103, 57)"
15,28814845,"(56, 45, 46)","(177, 50, 56)","(105, 92, 86)","(9, 46, 105)","(140, 146, 138)","(53, 14, 146)"
16,22064780,"(50, 46, 55)","(133, 42, 55)","(103, 108, 131)","(115, 55, 131)","(210, 169, 92)","(20, 143, 210)"
17,23341903,"(239, 206, 132)","(21, 114, 239)","(119, 135, 113)","(52, 42, 135)","(195, 202, 196)","(64, 9, 202)"
18,24879310,"(219, 237, 237)","(90, 19, 237)","(24, 138, 82)","(75, 211, 138)","(139, 167, 150)","(72, 43, 167)"
